"","moisture","diffusion","ammonium","nitrate","oxygen","co2","id","rownames"
"1",0.22,3.18,0.74,0,0.144,0,"sim_diff_3.18_nh4_0.74_no3_0_mois_0.22_o2_0.144",1
"2",0.24,3.18,0.55,0,0.15,0,"sim_diff_3.18_nh4_0.55_no3_0_mois_0.24_o2_0.15",2
"3",0.55,3.18,3.2,0,0.013,0,"sim_diff_3.18_nh4_3.2_no3_0_mois_0.55_o2_0.013",3
"4",0.51,3.18,2,1.76,0.126,0,"sim_diff_3.18_nh4_2_no3_1.76_mois_0.51_o2_0.126",4
"5",0.43,3.18,2.61,0.02,0.007,0,"sim_diff_3.18_nh4_2.61_no3_0.02_mois_0.43_o2_0.007",5
"6",0.21,3.18,0.65,0,0.13,0,"sim_diff_3.18_nh4_0.65_no3_0_mois_0.21_o2_0.13",6
"7",0.63,3.18,5.92,0.48,0.121,0,"sim_diff_3.18_nh4_5.92_no3_0.48_mois_0.63_o2_0.121",7
"8",0.49,3.18,2.63,0,0.01,0,"sim_diff_3.18_nh4_2.63_no3_0_mois_0.49_o2_0.01",8
"9",1.22,3.18,8.47,0,0.006,0,"sim_diff_3.18_nh4_8.47_no3_0_mois_1.22_o2_0.006",9
"10",0.62,3.18,3.33,0.55,0.005,0,"sim_diff_3.18_nh4_3.33_no3_0.55_mois_0.62_o2_0.005",10
"11",0.49,3.18,1.74,2.5,0.112,0,"sim_diff_3.18_nh4_1.74_no3_2.5_mois_0.49_o2_0.112",11
"12",0.67,3.18,0.86,1.53,0.004,0,"sim_diff_3.18_nh4_0.86_no3_1.53_mois_0.67_o2_0.004",12
"13",0.87,3.18,5,0,0.116,0,"sim_diff_3.18_nh4_5_no3_0_mois_0.87_o2_0.116",13
"14",0.41,3.18,3.86,0,0.115,0,"sim_diff_3.18_nh4_3.86_no3_0_mois_0.41_o2_0.115",14
"15",0.4,3.18,2.61,0,0.116,0,"sim_diff_3.18_nh4_2.61_no3_0_mois_0.4_o2_0.116",15
"16",0.31,3.18,0.92,0.14,0.121,0,"sim_diff_3.18_nh4_0.92_no3_0.14_mois_0.31_o2_0.121",16
"17",0.53,3.18,4.67,0,0.008,0,"sim_diff_3.18_nh4_4.67_no3_0_mois_0.53_o2_0.008",17
"18",0.59,3.18,6.23,2.35,0.108,0,"sim_diff_3.18_nh4_6.23_no3_2.35_mois_0.59_o2_0.108",18
"19",0.37,3.18,2.78,0.36,0.147,0,"sim_diff_3.18_nh4_2.78_no3_0.36_mois_0.37_o2_0.147",19
"20",0.56,3.18,4.82,0.2,0.013,0,"sim_diff_3.18_nh4_4.82_no3_0.2_mois_0.56_o2_0.013",20
"21",0.48,3.18,2.74,3,0.11,0,"sim_diff_3.18_nh4_2.74_no3_3_mois_0.48_o2_0.11",21
"22",0.31,3.18,3.48,0.33,0.148,0,"sim_diff_3.18_nh4_3.48_no3_0.33_mois_0.31_o2_0.148",22
"23",0.32,3.18,0.96,0,0.138,0,"sim_diff_3.18_nh4_0.96_no3_0_mois_0.32_o2_0.138",23
"24",0.53,3.18,3.02,0,0.013,0,"sim_diff_3.18_nh4_3.02_no3_0_mois_0.53_o2_0.013",24
"25",0.69,3.18,3.36,2.19,0.111,0,"sim_diff_3.18_nh4_3.36_no3_2.19_mois_0.69_o2_0.111",25
"26",0.22,3.18,0.51,1.17,0.133,0,"sim_diff_3.18_nh4_0.51_no3_1.17_mois_0.22_o2_0.133",26
"27",0.2,3.18,0.51,0,0.122,0,"sim_diff_3.18_nh4_0.51_no3_0_mois_0.2_o2_0.122",27
"28",0.4,3.18,1.47,0,0.102,0,"sim_diff_3.18_nh4_1.47_no3_0_mois_0.4_o2_0.102",28
"29",0.4,3.18,0.64,0.14,0.111,0,"sim_diff_3.18_nh4_0.64_no3_0.14_mois_0.4_o2_0.111",29
"30",1,3.18,6.58,0.07,0.003,0,"sim_diff_3.18_nh4_6.58_no3_0.07_mois_1_o2_0.003",30
"31",0.66,3.18,5.22,0,0.105,0,"sim_diff_3.18_nh4_5.22_no3_0_mois_0.66_o2_0.105",31
"32",0.12,3.18,0.15,0,0.143,0,"sim_diff_3.18_nh4_0.15_no3_0_mois_0.12_o2_0.143",32
"33",0.18,3.18,0.53,0.09,0.01,0,"sim_diff_3.18_nh4_0.53_no3_0.09_mois_0.18_o2_0.01",33
"34",0.12,3.18,0.34,0,0.139,0,"sim_diff_3.18_nh4_0.34_no3_0_mois_0.12_o2_0.139",34
"35",0.21,3.18,0.61,0.1,0.009,0,"sim_diff_3.18_nh4_0.61_no3_0.1_mois_0.21_o2_0.009",35
"36",0.22,3.18,0.46,0,0.009,0,"sim_diff_3.18_nh4_0.46_no3_0_mois_0.22_o2_0.009",36
"37",0.23,3.18,0.42,0,0.173,0,"sim_diff_3.18_nh4_0.42_no3_0_mois_0.23_o2_0.173",37
"38",0.29,3.18,1.5,1,0.117,0,"sim_diff_3.18_nh4_1.5_no3_1_mois_0.29_o2_0.117",38
"39",0.28,3.18,0.65,0.07,0.168,0,"sim_diff_3.18_nh4_0.65_no3_0.07_mois_0.28_o2_0.168",39
"40",0.64,3.18,4.6,2.95,0.115,0,"sim_diff_3.18_nh4_4.6_no3_2.95_mois_0.64_o2_0.115",40
