"","sampleID","horizon","mois","temp","bd","Dgas","Dliq","CO2","CH4","O2","H2","avail_ammonium","avail_nitrate_nitrite","nmin_obs","nitr_obs","moisture","liq_diffusion","gas_diffusion","ammonium","nitrate","oxygen","co2","id"
"1","HARV_001-M-20-3-20180710","M",0.222975377736842,17.3,0.8,1.43414048037368,3.17752259411457,0.000265928075637809,1.24168751270572e-06,0.144173716753053,3.44913197973812e-07,0.738266691319029,0,NA,NA,0.22,3.18,1.43,0.74,0,0.144,0,"sim_diff_3.18_nh4_0.74_no3_0_mois_0.22_o2_0.144"
"2","HARV_001-M-27-32.5-20180710","M",0.242062764157895,17.7,0.8,1.43414048037368,3.17752259411457,0.000276677394345774,1.29187888410478e-06,0.150001492654388,3.58855245584661e-07,0.549949330148459,0,0.046,0.034,0.24,3.18,1.43,0.55,0,0.15,0,"sim_diff_3.18_nh4_0.55_no3_0_mois_0.24_o2_0.15"
"3","HARV_001-M-28-35-20180418","M",0.553534206210526,4.3,0.8,1.43414048037368,3.17752259411457,2.31165531787738e-05,1.07937213286104e-07,0.0125327097648865,2.99825592461399e-08,3.20465648815928,0,-0.001,0.014,0.55,3.18,1.43,3.2,0,0.013,0,"sim_diff_3.18_nh4_3.2_no3_0_mois_0.55_o2_0.013"
"4","HARV_001-M-35-37-20181010","M",0.510153782526316,16.1,0.8,1.43414048037368,3.17752259411457,0.000233168981147569,1.08872676022211e-06,0.12641327382579,3.02424100061698e-07,1.99710300999487,1.76205436027956,0.032,-0.018,0.51,3.18,1.43,2,1.76,0.126,0,"sim_diff_3.18_nh4_2_no3_1.76_mois_0.51_o2_0.126"
"5","HARV_001-M-37.5-12.5-20180418","M",0.432936628368421,3.2,0.8,1.43414048037368,3.17752259411457,1.38165590541318e-05,6.45131162060629e-08,0.00749068960392619,1.79203100572397e-08,2.61101391323792,0.0206349887769066,0.053,0.006,0.43,3.18,1.43,2.61,0.02,0.007,0,"sim_diff_3.18_nh4_2.61_no3_0.02_mois_0.43_o2_0.007"
"6","HARV_001-M-37.5-5.5-20181010","M",0.209961250631579,16.3,0.8,1.43414048037368,3.17752259411457,0.000239675124640923,1.11910564034672e-06,0.129940599351369,3.10862677874089e-07,0.649143389090594,0,0.094,0.045,0.21,3.18,1.43,0.65,0,0.13,0,"sim_diff_3.18_nh4_0.65_no3_0_mois_0.21_o2_0.13"
"7","HARV_001-M-8-19-20181010","M",0.627280926473684,15.7,0.8,1.43414048037368,3.17752259411457,0.000222609844011836,1.03942339616421e-06,0.120688605443511,2.88728721156726e-07,5.92179516999667,0.480361035331268,-0.061,-0.001,0.63,3.18,1.43,5.92,0.48,0.121,0,"sim_diff_3.18_nh4_5.92_no3_0.48_mois_0.63_o2_0.121"
"8","HARV_001-M-9-34.5-20180418","M",0.48846357068421,3.7,0.8,1.43414048037368,3.17752259411457,1.77936287341012e-05,8.30830913654529e-08,0.0096468700529887,2.30786364904036e-08,2.62616002256862,0,0.017,0.015,0.49,3.18,1.43,2.63,0,0.01,0,"sim_diff_3.18_nh4_2.63_no3_0_mois_0.49_o2_0.01"
"9","HARV_033-M-0-32.5-20180418","M",1.21812229705263,2.9,0.8,1.43414048037368,3.17752259411457,1.14503140162425e-05,5.34645012431557e-08,0.00620782264434419,1.4851250345321e-08,8.46502652223822,0,0.09,0.025,1.22,3.18,1.43,8.47,0,0.006,0,"sim_diff_3.18_nh4_8.47_no3_0_mois_1.22_o2_0.006"
"10","HARV_033-M-14.5-0-20180418","M",0.616869624789474,2.4,0.8,1.43414048037368,3.17752259411457,8.32106849164215e-06,3.88532380932707e-08,0.00451129264527421,1.07925661370196e-08,3.3321991896656,0.55079292488002,0.033,-0.001,0.62,3.18,1.43,3.33,0.55,0.005,0,"sim_diff_3.18_nh4_3.33_no3_0.55_mois_0.62_o2_0.005"
"11","HARV_033-M-16.5-5-20181010","M",0.492801613052631,15,0.8,1.43414048037368,3.17752259411457,0.000206079130179109,9.62237183715685e-07,0.111726428553655,2.6728810658769e-07,1.73657008021894,2.49759177452589,1.686,0.164,0.49,3.18,1.43,1.74,2.5,0.112,0,"sim_diff_3.18_nh4_1.74_no3_2.5_mois_0.49_o2_0.112"
"12","HARV_033-M-31.5-30-20180418","M",0.668058524736842,2.3,0.8,1.43414048037368,3.17752259411457,7.71601755625055e-06,3.60280975389131e-08,0.00418326243646269,1.00078048719203e-08,0.859722277899576,1.53476347387998,NA,NA,0.67,3.18,1.43,0.86,1.53,0.004,0,"sim_diff_3.18_nh4_0.86_no3_1.53_mois_0.67_o2_0.004"
"13","HARV_033-M-37.5-26.5-20181010","M",0.865873256736842,15.4,0.8,1.43414048037368,3.17752259411457,0.000214203981999639,1.00017423501777e-06,0.116131341732619,2.77826176393825e-07,4.99916994768524,0,0.134,0.128,0.87,3.18,1.43,5,0,0.116,0,"sim_diff_3.18_nh4_5_no3_0_mois_0.87_o2_0.116"
"14","HARV_033-M-6.5-31.5-20180709","M",0.40604076568421,15.2,0.8,1.43414048037368,3.17752259411457,0.000211273049774091,9.86488948361514e-07,0.114542327893087,2.74024707878198e-07,3.86157969532983,0,0.436,0.325,0.41,3.18,1.43,3.86,0,0.115,0,"sim_diff_3.18_nh4_3.86_no3_0_mois_0.41_o2_0.115"
"15","HARV_033-M-8.5-15.5-20180709","M",0.396497072473684,15.3,0.8,1.43414048037368,3.17752259411457,0.000213751688834357,9.98062360316063e-07,0.115886129614476,2.7723954453224e-07,2.60794830101081,0,0.083,0.142,0.4,3.18,1.43,2.61,0,0.116,0,"sim_diff_3.18_nh4_2.61_no3_0_mois_0.4_o2_0.116"
"16","HARV_033-M-9.5-24.5-20181010","M",0.311471442052632,15.7,0.8,1.43414048037368,3.17752259411457,0.000224001825641057,1.0459229212812e-06,0.121443272526539,2.90534144800334e-07,0.922407431514714,0.141528178869747,0.124,0.083,0.31,3.18,1.43,0.92,0.14,0.121,0,"sim_diff_3.18_nh4_0.92_no3_0.14_mois_0.31_o2_0.121"
"17","HARV_004-M-0.5-26.5-20180418","M",0.529241168947368,3.4,0.8,1.43414048037368,3.17752259411457,1.53338020887653e-05,7.1597519480616e-08,0.00831326753969375,1.98881998557267e-08,4.67169529479899,0,0.247,0.072,0.53,3.18,1.43,4.67,0,0.008,0,"sim_diff_3.18_nh4_4.67_no3_0_mois_0.53_o2_0.008"
"18","HARV_004-M-10.5-34-20181009","M",0.593444196,14.7,0.8,1.43414048037368,3.17752259411457,0.000198525350701867,9.26966618063192e-07,0.107631123986226,2.57490727239776e-07,6.232180137455,2.35144587939679,-0.053,0.007,0.59,3.18,1.43,6.23,2.35,0.108,0,"sim_diff_3.18_nh4_6.23_no3_2.35_mois_0.59_o2_0.108"
"19","HARV_004-M-15-0.5-20180710","M",0.367865992842105,17.5,0.8,1.43414048037368,3.17752259411457,0.000270558542966993,1.26330837183032e-06,0.146684138729187,3.50918992175089e-07,2.78315686169585,0.362359776197275,0.154,0.109,0.37,3.18,1.43,2.78,0.36,0.147,0,"sim_diff_3.18_nh4_2.78_no3_0.36_mois_0.37_o2_0.147"
"20","HARV_004-M-21-0-20180418","M",0.558739857052632,4.3,0.8,1.43414048037368,3.17752259411457,2.31141750092403e-05,1.07926108992562e-07,0.0125314204330252,2.99794747201561e-08,4.82378494888641,0.20062116276193,0.304,0.084,0.56,3.18,1.43,4.82,0.2,0.013,0,"sim_diff_3.18_nh4_4.82_no3_0.2_mois_0.56_o2_0.013"
"21","HARV_004-M-27-32-20181009","M",0.481522702894737,14.9,0.8,1.43414048037368,3.17752259411457,0.000203726249315989,9.51250969568821e-07,0.110450807022158,2.64236380435784e-07,2.74337833757267,3.00348671313728,0.026,0.025,0.48,3.18,1.43,2.74,3,0.11,0,"sim_diff_3.18_nh4_2.74_no3_3_mois_0.48_o2_0.11"
"22","HARV_004-M-28.5-34-20180710","M",0.305398182736842,17.6,0.8,1.43414048037368,3.17752259411457,0.000273606412947616,1.27753967135074e-06,0.148336550729058,3.5487213093076e-07,3.48182973754207,0.329939272788268,0.058,0.156,0.31,3.18,1.43,3.48,0.33,0.148,0,"sim_diff_3.18_nh4_3.48_no3_0.33_mois_0.31_o2_0.148"
"23","HARV_004-M-33.5-2.5-20180710","M",0.323617960684211,16.9,0.8,1.43414048037368,3.17752259411457,0.000254756345437684,1.18952379192693e-06,0.138116929173738,3.30423275535258e-07,0.963520268873432,0,-0.004,0,0.32,3.18,1.43,0.96,0,0.138,0,"sim_diff_3.18_nh4_0.96_no3_0_mois_0.32_o2_0.138"
